주소,위도,경도
 방화동 868,37.5710366658696,126.810132586933
 화곡동 381-11,37.5391121410373,126.839432157263
 신월동 1057-1,37.5236260758737,126.841049426149
 이촌동 302-48,37.5200732451593,126.96943775841
 번동 138,37.627429605838,127.038805446
 역삼동 761-3,37.4966935407819,127.04640282377
 성산동 271-23,37.56161419594,126.906003310529
 묵동 383,37.6153868717685,127.08357304506
 고척동 334,37.495630700242,126.864458256716
 신림동 1425-4,37.4874255545698,126.929494512524
 삼성동 64-7,37.517433764694,127.052868536525
 송파동 173-1,37.5021020071045,127.1168897886
 명일동 355,37.5454598777476,127.144279017656
 이태원동 728,37.5425759280463,126.989407650812
 강일동 707,37.5609654273442,127.171528555875
 홍은동 산11-244,37.596418097796,126.93686704393
 삼성동 101,37.5163934362569,127.064958628055
 방학동 522,37.6579149605563,127.021607369538
 구로동 44-8,37.5021157487656,126.89139109473
 내수동 72,37.5736451462233,126.972083693674
 명일동 352-8,37.5452060064373,127.144125154146
 화곡동 1059-19,37.545082790583,126.842205706771
 미아동 461,37.6127580773307,127.025893193138
 양평동4가 12,37.5342894931941,126.893818281653
 양평동1가 20,37.5221454383628,126.886539000672
 녹번동 29-106,37.604728466949,126.932916025247
 여의도동 38-1,37.5199129627853,126.92215911698
 세곡동 508,37.4641787597471,127.10047214353
 봉천동 867-12,37.4796711135277,126.950446669045
 방화동 874,37.5700828735096,126.808252366026
 문정동 69-3,36.7939573847368,128.593873316952
 평창동 145-5,37.6090370606402,126.97272972315
 증산동 167-2,37.4703192913838,129.155158380065
 내발산동 687-2,37.5527682997366,126.832648300025
 성수동1가 706,37.5495743503564,127.047125434061
 신월동 480-4,37.5248919757944,126.845925126023
 상계동 730-2,37.6523920534513,127.060619906204
 광장동 567,37.5471240433617,127.108606346036
 성내동 424-12,37.5282446709543,127.133190034176
 중계동 363-1,37.6470905789828,127.079613251968
 전농동 597-5,37.5831831989351,127.049451012512
 북아현동 1-46,37.5639744382157,126.956999072996
 청량리동 425,37.5860825021411,127.044515083848
 서초동 1583-10,37.4856732800112,127.011536793727
 도봉동 649,37.6830012156396,127.050699390697
 신월동 125,37.530309350853,126.834957041081
 이촌동 211-2,37.5297407366228,126.953286481048
 홍은동 277-145,37.5824913286549,126.934382523274
 후암동 55-20,37.5496771283087,126.979061630684
 내발산동 697-5,37.5522038612046,126.833991945858
 서초동 1326,37.494604646439,127.025671243369
 성내동 448-14,37.5240334374282,127.13000790757
 성내동 386-83,37.5320328469453,127.134224144176
 장위동 315,37.6180569546011,127.043604913914
 하월곡동 224,37.5963575067038,127.041375291662
 고덕동 693,37.5580713168607,127.163466048424
 신림동 1417-43,37.4874929440495,126.930441094657
 화곡동 1143,37.5289234016014,126.852147985923
 용강동 118-3,37.5410476026957,126.939634604301
 자양동 587-6,37.5306254441852,127.071760977285
 화곡동 24-176,37.5449005396538,126.847261869294
 수유동 190-18,37.6405048084821,127.025130998177
 대림동 687-1,37.49973396293,126.899372538451
 연희동 74-14,37.5744170830381,126.936825095858
 화곡동 915-39,37.5288443088565,126.843349912322
 신사동 369,37.5936631937726,126.907393519046
 개봉동 335-1,37.4936005915155,126.848719419319
 개포동 654,37.4825110106863,127.051353221578
 창동 661-13,37.6492229251392,127.035929030628
 신림동 산28-9,37.4642614718002,126.940647473593
 천호동 564,37.538680954294,127.134216582969
 돈암동 643,37.6003801037254,127.022752734022
 오류동 9-231,37.4955340982239,126.841748276465
 길동 385-4,37.5378972349628,127.13651711326
 영등포동1가 40-1,37.5173400899516,126.914328542025
 장안동 579,37.5807859720037,127.07134001199
 신당동 432-1957,37.55103376731,127.005180355532
 목동 520-11,37.5458179329832,126.880083140259
 논현동 118-8,37.5171911210868,127.039686328076
 화곡동 916-14,37.5296217456207,126.843019585982
 삼전동 38-12,37.5005950736511,127.087514076564
 구로동 742-63,37.489286645971,126.887361502118
 금호동4가 1550,37.5475989221376,127.015344937204
 신도림동 692,37.5085909184876,126.888911156782
 거여동 45-1,37.4936867712341,127.147436225655
 도곡동 895-8,37.4878542544176,127.040231018371
 성산동 666,37.5670201214084,126.913331182165
 마포동 449,37.5363365094559,126.945416801911
 삼성동 104-10,36.3365808451184,127.432855626995
 답십리동 530-5,37.5700159132403,127.050460045346
 잠원동 71-1,37.5119231708908,127.005977716265
 항동 가-241,35.0888337647526,129.038675198601
 구로동 743-27,37.4889480190876,126.887177853693
 역촌동 64-15,37.6037988574142,126.913404911105
 목동 763-1,37.8841355646373,127.55231362428
 정릉동 1018,37.6064061195383,127.016128348982
 상계동 749-5,37.6500511166392,127.062225549531
 갈현동 521-2,37.4194963397679,127.156189501888
 여의도동 42,37.5214699376772,126.932502440505
 내발산동 672-15,37.5536163025783,126.840602064608
 문래동3가 54,37.516104136932,126.896739761065
 화곡동 849-7,37.5310230042441,126.855752430218
 장안동 566,37.0575701400519,127.081926185485
 염창동 305,37.5515698687417,126.870333283671
 신당동 432-904,37.5513885785428,127.005962670014
 구의동 198-5,37.5398264237772,127.095452702579
 풍납동 219,37.5341584143717,127.113694286299
 등촌동 705,37.5596517712734,126.848466939766
 중계동 364,37.6498095738639,127.078394253155
 방배동 169-24,37.4849184193721,126.99885744386
 목동 930,37.8848879017559,127.546724780967
 창동 827,37.6616457785818,127.045315022564
 신정동 294-70,37.5174576479904,126.871758403978
 반포동 73-2,37.4980137802079,127.000195704723
 구의동 235-30,37.544161320839,127.08596830907
 충무로5가 36-19,37.5632914287175,126.999470828686
 천호동 39-6,37.545613765989,127.139497306114
 잠실동 320,37.5027772793637,127.082959019833
 신당동 377-26,37.5578693235084,127.010957184037
 서초동 1444-7,37.4848542557638,127.020266978413
 숭인동 318-2,37.5713361013668,127.016713740205
 양재동 6-36,37.4818419939522,127.041091307558
 자양동 856,37.5321687755583,127.069072371033
 신월동 1076,37.5155428398583,126.842448955944
 역촌동 57-39,37.6045136409526,126.911538439621
 여의도동 40,37.5234281804883,126.934267466371
 제기동 1158-6,37.5800721697459,127.032533123056
 독산동 183-1,37.4699657585612,126.906322018262
 방배동 449-3,37.4773276346512,126.984325357683
 서초동 1435-2,37.4846535584213,127.024031539505
 청담동 128-1,37.5266833330755,127.053902596019
 역삼동 755-4,37.4988054354701,127.049982707024
 대현동 90-70,37.5570233506242,126.944112187074
 길동 366-13,37.5394114944766,127.141243192274
 화곡동 980-21,37.5505403634315,126.849082115784
 독산동 1140,37.4648076729473,126.88855624033
 방배동 843-6,37.4923994840497,126.995954852734
 대방동 512,34.9332577377526,128.054948737133
 논현동 109-9,37.5187298023321,127.038680455938
 서초동 1491-3,37.4837010306638,127.003306804541
 수유동 562-4,37.6455379935506,127.008056566296
 사근동 314,37.5604279818317,127.049530715276
 청담동 106-1,37.5277909618235,127.050240408665
 합정동 474,37.5508632979136,126.907827323998
 논현동 217-34,37.5126057212191,127.033808677492
 둔촌동 70-5,37.5293667121044,127.140514867027
 공릉동 90,37.6214575481604,127.085181923775
 암사동 474-10,37.5521002080095,127.135967783386
 상계동 1279,37.6537268418142,127.068868563176
 창동 655-7,37.646740092517,127.034362365592
 오류동 31-138,37.4970431012999,126.845100654595
 방화동 873,37.5719250520048,126.814979087646
 본동 490,37.5107875110526,126.949732464048
 성수동2가 279-50,37.5453879899103,127.06531949265
 청담동 113-16,37.5272706057379,127.048766796554
 내발산동 719,37.5506556040241,126.835795236697
 동소문동6가 138-1,37.5932198403724,127.015150859412
 구로동 791-18,37.4860913567737,126.889020031532
 종암동 133-1,37.5983193313411,127.029776585186
 자양동 219-11,37.5364191947145,127.081870468623
 남현동 1072-50,37.4731390531462,126.973506616877
 화곡동 938-23,37.5299779112951,126.839509591932
 상계동 1021-12,37.6713630519779,127.057814249972
 장위동 50-50,37.6121799242765,127.058751626504
 봉천동 1531-34,37.4809809837899,126.938504775496
 봉천동 41-261,37.4857468348194,126.952812609582
 역삼동 828-76,37.4974128818498,127.033091387892
 북가좌동 455,37.57503157541,126.904446981795
 응암동 117-22,37.5969215512728,126.91906541033
 면목동 1510,37.5805307172549,127.08353599359
 독산동 989,37.4728079592603,126.901171425584
 대조동 186-45,37.6168555316417,126.922587462686
 대치동 891-23,37.505081261983,127.053534296891
 증산동 256,37.5802375941029,126.90534452058
 우면동 764,37.4564634617881,127.016238603226
 세곡동 516,37.4638170127601,127.104467642122
 내발산동 686-1,37.5532957684087,126.831833901905
 미아동 797,37.625975345332,127.019368089194
 등촌동 704,37.5615912758408,126.849713996152
 오금동 55-8,37.6692032711109,126.918856666836
 중동 395,37.1393455384387,128.694776751659
 성산동 604,37.5697297467166,126.905346606671
 신공덕동 155,37.5433846907568,126.955643449115
 공덕동 468,37.54995594775,126.961948972273
 사당동 1151,37.4824832033529,126.966354177762
 자곡동 621,37.4707492529501,127.090894797123
 삼성동 142-7,36.3384861393238,127.434852235329
 방이동 107-18,37.5126088775861,127.113046075588
 일원동 615,37.4923071026914,127.078225863604
 오류동 349,37.4890273583322,126.827201342356
 합정동 400-20,37.5491712327566,126.906788335223
 서초동 1754,37.4931906633364,127.027021920503
 장안동 372-5,37.5700889827487,127.069945879294
 화곡동 1103-3,37.5528436720566,126.848825321243
 중계동 360-16,37.6480757967724,127.073241418052
 문래동5가 67,37.5169969881885,126.887033980404
 오류동 1-7,37.4978132613114,126.835629424652
 사당동 1136,37.48882081318,126.977442070613
 방이동 177-6,37.5150040821971,127.11830848415
 화곡동 143-37,37.5417227275152,126.841550848457
 북가좌동 325-43,37.5820519272905,126.911226662714
 갈현동 522-16,37.6176855824928,126.910701176655
 사당동 1159,37.4885214809836,126.973315851941
 도화동 82,37.5364262699115,126.947081020449
 방학동 715-12,37.6651055381686,127.045777750128
 상도동 77-21,37.4993399916723,126.953037265072
 용두동 102-172,37.5773479241734,127.03360528703
 여의도동 40-4,37.522160013812,126.935565889866
 풍납동 254-2,37.5321274556741,127.114706317737
 서초동 1434-2,37.4845143719623,127.023607661499
 양평동6가 100,37.5422664843632,126.889801358971
 사당동 120,37.4886229677773,126.977785726136
 화곡동 1065-2,37.541617421426,126.838448156648
 도봉동 51-12,37.6848839639401,127.0471221083
 방학동 496,37.6589188431204,127.025139889837
 상도동 472-24,37.4966584280664,126.952076812472
 방학동 275,37.6604657505352,127.032527809708
 서초동 1671-5,37.4934717548284,127.015450001337
 양재동 306-11,37.4738434851476,127.044328262901
 서교동 494,37.5507806523861,126.916800902112
 등촌동 632-2,37.5556979532606,126.864114648562
 논현동 22,37.5147458630803,127.022615470801
 면목동 1517,37.5878871415377,127.10166808366
 삼성동 16-2,37.516266596819,127.048489942496
 방배동 12-5,37.4957300751379,126.992670198324
 응암동 403-32,37.5915769812029,126.920329321904
 신정동 327,37.5141797472626,126.865023924094
 화곡동 928-27,37.528644858451,126.840744812265
 압구정동 528,37.5291430342567,127.044073131194
 합정동 468,37.5500331304956,126.906509535357
 옥수동 558,37.5426159825021,127.017468860667
 신사동 19-147,37.5973395992089,126.909293950984
 대림동 1123,37.4873914374114,126.899430303095
 이촌동 203-14,37.526167332009,126.955821678412
 상도1동 317-1,37.501519329575,126.953000522628
 반포동 550-27,37.4974097846835,127.001171004404
 신대방동 717,37.4916976754046,126.914485065248
 마장동 512-2,37.5688510341057,127.038535651747
 자양동 790,37.5337021952118,127.069176786709
 신정동 337,37.5077984500361,126.866527687999
 신사동 634-14,37.5260035565165,127.034359057242
 서초동 1616-10,37.4878893685824,127.023016820452
 잠원동 71-8,37.511852335352,127.005333164995
 홍은동 454,37.6025890698118,126.950977970068
 자양동 798-4,37.5369175304313,127.077812663698
 가락동 142,37.4956795025877,127.12637323264
 창동 805,37.6543521447286,127.046498560183
 망우동 213-3,37.6051692868363,127.105785943342
 상봉동 226-25,37.6025653122224,127.088125991289
 역삼동 656-30,37.506671279463,127.038641385023
 염창동 245-1,37.5539905584605,126.870499596621
 대치동 902,37.5039562773396,127.057083956089
 구산동 223,37.6964034455885,126.706332721689
 신길동 425-8,37.4996266353264,126.908239994675
 마천동 319,37.4933565470657,127.155421736241
 도봉동 642,37.6762339867315,127.047628511096
 창동 254-5,37.6538875463547,127.045523383943
 응암동 118-12,37.596604283589,126.918118451442
 청담동 15,37.5206433025822,127.044960861361
 염창동 303,37.5532613381834,126.873394413555
 망우동 580,37.6022742645689,127.109178104284
 창전동 42-10,37.5494736407695,126.927802080365
 방화동 871,37.5720371691753,126.810736946978
 중림동 355,37.5605071946078,126.968335637674
 천호동 328-1,37.545820961872,127.122441008644
 암사동 419,37.5520290130224,127.140302875627
 월계동 927,37.6212205377165,127.062003592331
 응암동 109-3,37.5998282851828,126.921511567872
 망원동 501,37.5557712375063,126.906706616662
 중곡동 254-12,37.5614885271782,127.07669863324
 신월동 506-1,37.5230000943399,126.847574463047
 묵동 7,37.61896738655,127.086268420567
 방배동 930-1,37.4835155804482,126.991953138881
 구의동 254-41,37.5420869589541,127.083685193193
 송정동 97,35.9881822251135,128.626789417332
 상도동 520,36.0061178657112,129.347003356955
 북가좌동 68-3,37.5795520582153,126.916464765465
 서초동 1343-9,37.4871784732083,127.026433844395
 미아동 1353,37.6179809558267,127.01275723764
 홍제동 469,37.7456813207059,128.871105398967
 독산동 1135,37.4646527515514,126.893132323105
 묵동 174-9,37.6131895456121,127.078266918035
 화곡동 343-33,37.5318301827288,126.845972327887
 길동 384-4,37.5382280716076,127.136215281182
 진관동 64,37.6413906088877,126.920351968182
 성내동 596,37.5311385837024,127.13534881412
 봉천동 1729,37.4886095103096,126.95944847302
 신당동 840,37.5599614156297,127.02165834174
 구로동 796-25,37.4852649160803,126.889015920315
